3,0:00:11,3
3,0:09:40,2
3,0:23:39,1
3,0:25:48,1
3,0:25:56,1
3,0:26:12,1
3,0:43:07,2
1,0:10:04,2
1,0:10:29,1
1,0:10:31,1
1,0:14:10,4
1,0:22:40,1
1,0:22:42,1
1,0:23:22,1
1,0:24:07,1
1,0:24:42,1
1,0:28:11,1
1,0:31:08,1
1,0:33:22,1
1,0:33:52,1
1,0:35:57,1
1,0:38:08,1
1,0:39:52,1
1,0:40:51,4
1,0:41:45,2
1,0:51:47,1
1,0:53:09,1
1,0:54:20,3
1,0:59:23,2
1,1:00:08,1
1,1:03:07,1
1,1:07:21,1
1,1:08:50,3
1,1:13:27,3
1,1:14:18,1
1,1:14:55,1
1,1:15:00,1
1,1:16:33,2
1,1:16:51,3
1,1:20:14,4
1,1:20:16,1
1,1:20:59,3
1,1:22:16,2
1,1:23:17,1
1,1:23:27,1
1,1:25:12,1
1,1:26:46,2
1,1:26:52,4
1,1:27:29,1
1,1:28:00,1
1,1:28:52,1
1,1:30:31,2
5,0:03:00,2
5,0:11:15,1
5,0:12:02,1
5,0:12:53,2
5,0:13:01,1
5,0:13:03,1
5,0:13:23,4
5,0:14:10,1
5,0:25:58,1
5,0:27:56,1
5,0:30:09,1
5,0:30:40,2
5,0:31:19,1
5,0:32:51,2
5,0:34:52,1
5,0:36:10,1
5,0:36:13,1
5,0:43:22,1
5,0:51:32,1
5,0:53:40,1
5,0:56:29,2
5,1:01:19,1
5,1:01:23,1
5,1:04:08,2
5,1:05:32,1
5,1:20:58,1
11,0:08:58,1
11,0:21:54,1
11,0:22:34,1
11,0:36:08,1
11,0:38:47,1
11,0:38:53,1
11,0:39:55,1
11,0:42:46,1
11,0:42:52,1
11,0:46:45,1
11,0:50:37,1
11,1:07:36,3
11,1:10:22,1
11,1:14:01,1
11,1:14:10,4
11,1:15:16,2
11,1:18:49,2
11,1:20:00,2
11,1:20:21,1
11,1:21:18,1
11,1:22:40,1
11,1:24:03,2
11,1:27:29,2
11,1:27:41,1
11,1:30:10,1
11,1:30:18,1
11,0:36:10,1
11,0:38:56,1
11,1:07:39,2
11,1:14:12,1
11,1:20:02,2
11,1:20:25,1
11,1:30:16,1
33,0:01:17,1
33,0:01:23,1
33,0:02:34,2
33,0:06:19,1
33,0:06:34,1
33,0:11:34,1
33,0:12:29,1
33,0:13:30,1
33,0:16:40,1
33,0:16:42,3
33,0:25:34,1
33,0:40:04,1
33,0:45:55,1
33,1:09:48,1
33,1:09:55,1
33,1:12:02,1
33,1:17:20,1
33,1:26:18,2
33,1:28:03,1
